0,2018-02-04 01:44:03
1,2018-02-04 01:44:13
2,2018-02-04 01:44:23
3,2018-02-04 01:44:33
4,2018-02-04 01:44:43
5,2018-02-04 01:44:53
6,2018-02-04 01:45:03
7,2018-02-04 01:45:13
8,2018-02-04 01:45:23
9,2018-02-04 01:45:33
10,2018-02-04 01:45:43
11,2018-02-04 01:45:53
12,2018-02-04 01:46:03
13,2018-02-04 01:46:13
14,2018-02-04 01:46:23
15,2018-02-04 01:46:33
16,2018-02-04 01:46:43
17,2018-02-04 01:46:53
18,2018-02-04 01:47:03
19,2018-02-04 01:47:13
20,2018-02-04 01:47:23
21,2018-02-04 01:47:33
22,2018-02-04 01:47:43
23,2018-02-04 01:47:53
24,2018-02-04 01:48:03
25,2018-02-04 01:48:13
26,2018-02-04 01:48:23
27,2018-02-04 01:48:33
28,2018-02-04 01:48:43
29,2018-02-04 01:48:53
30,2018-02-04 01:49:03
31,2018-02-04 01:49:13
32,2018-02-04 01:49:23
33,2018-02-04 01:49:33
34,2018-02-04 01:49:43
35,2018-02-04 01:49:53
36,2018-02-04 01:50:03
37,2018-02-04 01:50:13
38,2018-02-04 01:50:23
39,2018-02-04 01:50:33
40,2018-02-04 01:50:43
41,2018-02-04 01:50:53
42,2018-02-04 01:51:03
43,2018-02-04 01:51:13
44,2018-02-04 01:51:23
45,2018-02-04 01:51:33
46,2018-02-04 01:51:43
47,2018-02-04 01:51:53
48,2018-02-04 01:52:03
49,2018-02-04 01:52:13
50,2018-02-04 01:52:23
51,2018-02-04 01:52:33
52,2018-02-04 01:52:43
53,2018-02-04 01:52:53
54,2018-02-04 01:53:03
55,2018-02-04 01:53:13
56,2018-02-04 01:53:23
57,2018-02-04 01:53:33
58,2018-02-04 01:53:43
59,2018-02-04 01:53:53
60,2018-02-04 01:54:03
61,2018-02-04 01:54:13
62,2018-02-04 01:54:23
63,2018-02-04 01:54:33
64,2018-02-04 01:54:43
65,2018-02-04 01:54:53
66,2018-02-04 01:55:03
67,2018-02-04 01:55:13
68,2018-02-04 01:55:23
69,2018-02-04 01:55:33
70,2018-02-04 01:55:43
71,2018-02-04 01:55:53
72,2018-02-04 01:56:03
73,2018-02-04 01:56:13
74,2018-02-04 01:56:23
75,2018-02-04 01:56:33
76,2018-02-04 01:56:43
77,2018-02-04 01:56:53
78,2018-02-04 01:57:03
79,2018-02-04 01:57:13
80,2018-02-04 01:57:23
81,2018-02-04 01:57:33
82,2018-02-04 01:57:43
83,2018-02-04 01:57:53
84,2018-02-04 01:58:03
85,2018-02-04 01:58:13
86,2018-02-04 01:58:23
87,2018-02-04 01:58:33
88,2018-02-04 01:58:43
89,2018-02-04 01:58:53
90,2018-02-04 01:59:03
91,2018-02-04 01:59:13
92,2018-02-04 01:59:23
93,2018-02-04 01:59:33
94,2018-02-04 01:59:43
95,2018-02-04 01:59:53
96,2018-02-04 02:00:03
97,2018-02-04 02:00:13
98,2018-02-04 02:00:23
99,2018-02-04 02:00:33
100,2018-02-04 02:00:43
101,2018-02-04 02:00:53
102,2018-02-04 02:01:03
103,2018-02-04 02:01:13
104,2018-02-04 02:01:23
105,2018-02-04 02:01:33
106,2018-02-04 02:01:43
107,2018-02-04 02:01:53
108,2018-02-04 02:02:03
109,2018-02-04 02:02:13
110,2018-02-04 02:02:23
111,2018-02-04 02:02:33
112,2018-02-04 02:02:43
113,2018-02-04 02:02:53
114,2018-02-04 02:03:03
115,2018-02-04 02:03:13
116,2018-02-04 02:03:23
117,2018-02-04 02:03:33
118,2018-02-04 02:03:43
119,2018-02-04 02:03:53
120,2018-02-04 02:04:03
121,2018-02-04 02:04:13
122,2018-02-04 02:04:23
123,2018-02-04 02:04:33
124,2018-02-04 02:04:43
